MeanTemp,Description,Incidents,Level
43,ROBBERY - STREET,8.193548387,High
44,AGG. ASSAULT,14.15384615,High
44,AAUTO THEFT,11.65384615,High
44,BURGLARY,17.92307692,High
44,COMMON ASSAULT,19.73076923,High
44,LARCENY,25.96153846,High
44,LARCENY FROM AUTO,17.11538462,High
44,ROBBERY - STREET,9.653846154,High
45,AGG. ASSAULT,13.5483871,High
45,AAUTO THEFT,10.22580645,High
45,BURGLARY,16.83870968,High
45,COMMON ASSAULT,20.41935484,High
45,LARCENY,23.5483871,High
45,LARCENY FROM AUTO,16.19354839,High
45,ROBBERY - STREET,8.903225806,High
46,AGG. ASSAULT,12.3125,High
46,AAUTO THEFT,10.71875,High
46,BURGLARY,16.65625,High
46,COMMON ASSAULT,19.84375,High
46,LARCENY,24.84375,High
46,LARCENY FROM AUTO,15.25,High
46,ROBBERY - STREET,8.3125,High
47,AGG. ASSAULT,13.48648649,High
47,AAUTO THEFT,10.27027027,High
47,BURGLARY,18.05405405,High
47,COMMON ASSAULT,18.59459459,High
47,LARCENY,25.51351351,High
47,LARCENY FROM AUTO,15.97297297,High
47,ROBBERY - STREET,9.243243243,High
48,AGG. ASSAULT,10.57894737,High
48,AAUTO THEFT,10.78947368,High
48,BURGLARY,19.78947368,High
48,COMMON ASSAULT,20.42105263,High
48,LARCENY,29.36842105,High
48,LARCENY FROM AUTO,17.63157895,High
48,ROBBERY - STREET,9.526315789,High
49,AGG. ASSAULT,13.69230769,High
49,AAUTO THEFT,10.38461538,High
49,BURGLARY,18.15384615,High
49,COMMON ASSAULT,20.34615385,High
49,LARCENY,28.34615385,High
49,LARCENY FROM AUTO,15.26923077,High
49,ROBBERY - STREET,11.03846154,High
50,AGG. ASSAULT,14.5,High
50,AAUTO THEFT,11.03846154,High
50,BURGLARY,22.84615385,High
50,COMMON ASSAULT,20.38461538,High
50,LARCENY,24.65384615,High
50,LARCENY FROM AUTO,16.26923077,High
50,ROBBERY - STREET,9.269230769,High
51,AGG. ASSAULT,12.91176471,High
51,AAUTO THEFT,10.20588235,High
51,BURGLARY,18.94117647,High
51,COMMON ASSAULT,20.85294118,High
51,LARCENY,25.85294118,High
51,LARCENY FROM AUTO,16.11764706,High
51,ROBBERY - STREET,8.117647059,High
52,AGG. ASSAULT,13.04651163,High
52,AAUTO THEFT,10.55813953,High
52,BURGLARY,17.58139535,High
52,COMMON ASSAULT,19.6744186,High
52,LARCENY,26.6744186,High
52,LARCENY FROM AUTO,16.3255814,High
52,ROBBERY - STREET,9.76744186,High
53,AGG. ASSAULT,14.76190476,High
53,AAUTO THEFT,10.9047619,High
53,BURGLARY,17.23809524,High
53,COMMON ASSAULT,21.28571429,High
53,LARCENY,27.04761905,High
53,LARCENY FROM AUTO,14.66666667,High
53,ROBBERY - STREET,9.761904762,High
54,AGG. ASSAULT,13.34482759,High
54,AAUTO THEFT,11.51724138,High
54,BURGLARY,19.10344828,High
54,COMMON ASSAULT,22.4137931,High
54,LARCENY,27.03448276,High
54,LARCENY FROM AUTO,16.34482759,High
54,ROBBERY - STREET,8.689655172,High
55,AGG. ASSAULT,13.07142857,High
55,AAUTO THEFT,11.39285714,High
55,BURGLARY,18.89285714,High
55,COMMON ASSAULT,19.57142857,High
55,LARCENY,28.89285714,High
55,LARCENY FROM AUTO,15.5,High
55,ROBBERY - STREET,10,High
56,AGG. ASSAULT,12.72413793,High
56,AAUTO THEFT,10.89655172,High
56,BURGLARY,21.96551724,High
56,COMMON ASSAULT,20.24137931,High
56,LARCENY,26.96551724,High
56,LARCENY FROM AUTO,17.20689655,High
56,ROBBERY - STREET,9.862068966,High
57,AGG. ASSAULT,14.19047619,High
57,AAUTO THEFT,11.33333333,High
57,BURGLARY,19.47619048,High
57,COMMON ASSAULT,21.28571429,High
57,LARCENY,26.95238095,High
57,LARCENY FROM AUTO,18.04761905,High
57,ROBBERY - STREET,10.38095238,High
58,AGG. ASSAULT,12.4,High
58,AAUTO THEFT,10.93333333,High
58,BURGLARY,18.93333333,High
58,COMMON ASSAULT,20.46666667,High
58,LARCENY,28.03333333,High
58,LARCENY FROM AUTO,15.3,High
58,ROBBERY - STREET,9.066666667,High
59,AGG. ASSAULT,13.38888889,High
59,AAUTO THEFT,10.27777778,High
59,BURGLARY,19.66666667,High
59,COMMON ASSAULT,22.16666667,High
59,LARCENY,26.5,High
59,LARCENY FROM AUTO,18,High
59,ROBBERY - STREET,9.222222222,High
60,AGG. ASSAULT,13.90625,High
60,AAUTO THEFT,11.25,High
60,BURGLARY,19.6875,High
60,COMMON ASSAULT,21.78125,High
60,LARCENY,27,High
60,LARCENY FROM AUTO,16.875,High
60,ROBBERY - STREET,9.34375,High
61,AGG. ASSAULT,14.03571429,High
61,AAUTO THEFT,10.5,High
61,BURGLARY,19.85714286,High
61,COMMON ASSAULT,20.82142857,High
61,LARCENY,27.03571429,High
61,LARCENY FROM AUTO,16.03571429,High
61,ROBBERY - STREET,9.5,High
62,AGG. ASSAULT,14.65714286,High
62,AAUTO THEFT,11.54285714,High
62,BURGLARY,19.28571429,High
62,COMMON ASSAULT,21.37142857,High
62,LARCENY,29.34285714,High
62,LARCENY FROM AUTO,16.42857143,High
62,ROBBERY - STREET,8.428571429,High
63,AGG. ASSAULT,13.74074074,High
63,AAUTO THEFT,10.48148148,High
63,BURGLARY,16.14814815,High
63,COMMON ASSAULT,21.81481481,High
63,LARCENY,31,High
63,LARCENY FROM AUTO,18.48148148,High
63,ROBBERY - STREET,9.333333333,High
64,AGG. ASSAULT,15.4,High
64,AAUTO THEFT,9.56,High
64,BURGLARY,18.88,High
64,COMMON ASSAULT,23.04,High
64,LARCENY,29.88,High
64,LARCENY FROM AUTO,15.32,High
64,ROBBERY - STREET,9.96,High
65,AGG. ASSAULT,15.44827586,High
65,AAUTO THEFT,10.89655172,High
65,BURGLARY,16.82758621,High
65,COMMON ASSAULT,22.96551724,High
65,LARCENY,26.24137931,High
65,LARCENY FROM AUTO,14.55172414,High
65,ROBBERY - STREET,8.793103448,High
